448,-8768,-13152,-281,-331,-735
188,-8460,-13280,-1032,-432,-98
-140,-8660,-13292,-1544,-852,410
-176,-9112,-13464,-1797,-481,303
16,-9460,-13684,-1736,117,214
-80,-9536,-13568,-2259,377,234
-32,-9084,-13692,-3524,548,-367
112,-8924,-13780,-4468,-140,-965
-348,-9856,-14224,-4831,-1268,-310
-168,-9312,-12724,-14762,-1026,635
300,-7584,-15992,-3391,-260,-692
316,-9080,-14436,-2375,-376,-1219
-56,-8988,-14140,-3668,-886,-1463
-452,-7784,-14248,-6835,-1451,-2858
-52,-7152,-14364,-7655,-1343,-4212
-112,-6872,-14536,-4763,-187,-1972
-804,-6968,-14640,-3348,43,-552
-516,-6640,-14640,-4421,140,-501
-312,-7224,-15296,-4632,-283,-236
-136,-7924,-15700,-4886,-62,1173
-600,-7588,-15848,-5282,-121,555
-420,-6648,-15644,-3539,-411,664
276,-6844,-15248,-2320,-879,2212
-288,-7296,-15140,-5402,-586,2070
-2144,-6792,-15372,-9517,-1359,-1262
-660,-3584,-16356,-7691,-2438,769
-40,-4624,-16032,-2180,-1114,3823
-44,-5252,-15200,1565,1193,5740
-164,-5564,-14548,1364,1377,5149
-280,-5044,-14796,-785,1851,4495
36,-4448,-14584,-3430,1878,2313
-1288,-3604,-15392,-2577,2129,3879
-1572,-3176,-14920,2718,-345,3960
324,-4224,-15092,3719,2274,6135
-676,-5800,-15056,953,1835,5646
-3396,-6284,-15108,-8233,2947,277
-1780,-3328,-15876,-10637,4093,498
-1208,-696,-15276,-1085,3679,-1314
696,-2936,-14796,10767,2660,676
844,-5640,-15248,6126,3056,696
-672,-4212,-14876,-3574,3132,-1145
-752,-1920,-14620,-6991,3222,-2928
-840,-216,-14596,-706,1396,-2570
-376,-3280,-15260,2389,173,-1116
92,-4720,-15952,-797,-1229,-815
-180,-3876,-15948,-3433,-2435,-1178
76,-2548,-16244,-3252,-2383,-662
-468,-2612,-16636,170,-2468,2952
-772,-4508,-17152,2789,-938,5030
-1224,-5448,-16736,2951,-240,3972
-812,-4828,-16336,351,79,2252
-256,-3248,-16500,-1814,461,2810
-960,-3500,-16440,-1859,844,5174
-1768,-3836,-16712,1529,1041,3709
-1088,-4728,-15992,3877,1384,597
-68,-4056,-15764,3081,2291,289
1140,-3848,-15728,2161,2281,2552
712,-4428,-15768,346,1221,4573
-1236,-4460,-15952,-2126,-447,3307
-1240,-4448,-16468,-1706,-1084,720
-20,-4200,-16780,280,-214,1428
948,-4708,-16912,3233,810,4557
1000,-4732,-16896,3292,859,4663
-540,-6440,-15960,-699,1264,4103
-732,-5832,-16000,-1680,-20,1080
-132,-5272,-16132,-103,-457,1160
-168,-4740,-15940,2597,-273,4018
40,-4508,-15620,4352,-446,6794
-28,-5592,-15528,1596,160,7313
-1340,-5720,-15488,-2823,399,4645
-2504,-5760,-15516,-3610,305,1273
-2140,-5132,-15460,-1625,-260,307
-1644,-5020,-15092,-22,-1247,1664
-1344,-5140,-15232,-272,-1396,3511
-2308,-5116,-15572,-141,-775,3430
-3156,-5144,-15944,923,-182,1532
-3228,-4864,-15672,1042,-55,176
-2548,-4264,-15148,-1340,-1558,-449
-2068,-3688,-14504,-3063,-809,-925
-1680,-3356,-14540,-2279,-1159,-1210
-1836,-2892,-15468,-1922,-1452,-654
-2216,-2232,-16308,-2864,-675,-213
-2468,-1336,-16288,-3788,-940,-285
-1840,-1048,-17096,-2792,797,589
-2092,-960,-16896,-71,1294,819
-1904,-1160,-16548,2307,2269,734
-2008,-1492,-16532,3171,3230,1028
-2752,-1808,-16388,3502,2557,-102
-956,-2676,-15900,5124,2197,-1408
-544,-3832,-15416,4947,2665,-445
-1788,-4040,-15000,3469,2848,-243
-2308,-3984,-14564,1988,2187,-1214
-1564,-3956,-14400,956,1600,-1297
-1232,-4248,-14308,841,1044,-755
-1284,-4572,-14636,1208,-356,-891
-1320,-4840,-15220,106,-1636,-1125
-1828,-4448,-15852,-1725,-781,-719
-2340,-4424,-16116,-2157,-639,-921
-2360,-4276,-16188,-671,-85,-1005
-2416,-4364,-15912,955,870,-850
-2480,-4424,-15476,1173,2025,-665
-2516,-4228,-14980,663,2698,-85
-1876,-3864,-14864,1205,2538,712
-1032,-3736,-15012,2137,2157,1508
