2024,1620,16652,52,523,305
2144,1596,16504,-75,298,181
2252,1596,16172,-98,341,22
2412,1792,16120,272,374,-158
2472,2244,16112,335,309,-48
2380,2152,16104,131,250,100
2276,1888,16084,-198,611,-31
2360,1680,16016,-450,1051,-223
2600,1804,16116,-461,1084,-302
2604,1784,16396,-644,869,-70
2276,1536,16724,-849,549,96
2228,1140,16592,-1175,203,-252
2456,1164,16524,-945,-574,-889
2772,1136,16176,-788,-659,-1051
2904,1584,16096,-906,-466,-1174
2948,1568,16000,-901,-106,-1136
2752,1280,16392,-858,-144,-1264
2348,928,16612,-755,-484,-1723
2244,908,16488,-574,-653,-2343
2464,1204,16332,-700,-490,-2816
2444,1380,16024,-825,-158,-2741
2372,1460,15852,-1105,352,-2616
2272,1420,16284,-1344,854,-2570
2216,1272,16560,-1449,516,-2460
1980,1004,16580,-1119,-166,-2343
1844,808,16652,-736,-781,-2469
2140,928,16372,-492,-632,-2591
2360,1080,16280,-325,-272,-2679
2356,1264,16284,-265,-336,-2683
2476,1340,16280,-236,-682,-2536
2572,1372,16332,-417,-531,-2063
2524,1464,16448,-674,62,-1687
2376,1132,16368,-775,143,-1613
2052,1076,16632,-243,-264,-1849
2172,1316,16552,-32,-444,-2147
2584,1664,16252,105,-136,-2115
2684,1736,16240,279,228,-1609
2460,1256,16420,328,255,-1125
2312,1084,16468,370,-287,-1085
2404,1368,16084,-110,-569,-1170
3064,1728,15988,-957,-217,-1003
3144,1084,15804,-646,-30,-676
2412,900,16164,901,-831,-1328
2928,1312,16776,1169,-757,-1878
3360,1560,16696,746,-252,-1896
3576,1644,16328,136,-252,-1450
3376,1284,15796,-404,-120,-862
3268,956,15380,-824,711,-554
2824,772,15596,-926,1223,-572
2568,980,16176,-494,1261,-1079
2736,1492,16628,-243,960,-1267
2984,1900,16592,-312,668,-924
3032,1640,16432,-452,695,-340
2800,1264,16228,-492,844,-36
2804,1132,15976,-393,1368,-204
2788,1152,16084,-365,1881,-296
2812,1480,16296,-506,1934,-145
2808,1612,16504,-737,1461,226
2744,1128,16604,-341,322,441
2488,812,16460,435,-439,600
2592,888,16316,303,-333,463
2708,1208,16216,-25,561,345
3056,1456,16092,-295,1267,439
2968,1276,16148,-172,1504,731
2400,876,16528,13,1250,769
2428,1192,16380,-249,1075,645
2792,1264,16128,-637,1145,600
2768,960,16040,-491,763,802
2692,880,16008,-299,1253,706
2568,876,16308,-4,1684,459
2704,904,16912,181,1362,306
2480,968,16780,121,437,456
2408,1008,16616,94,-166,537
2448,1164,16144,25,140,514
2640,1284,16056,48,674,474
2756,1104,16120,266,890,473
2788,952,16356,265,798,609
2776,812,16400,-265,934,703
2564,656,16360,-355,858,618
2584,796,16556,-90,571,267
2620,1220,16236,147,406,178
2852,1200,16148,115,557,360
2792,976,16144,74,699,498
2712,752,16376,178,725,332
2616,692,16376,251,604,23
2596,940,16380,220,315,-35
2732,924,16100,42,320,58
2744,944,16268,134,430,145
2664,920,16380,65,231,207
2648,1076,16268,31,343,217
2508,1048,16436,276,570,155
2452,1016,16336,179,793,3
2568,940,16312,69,707,-47
2540,964,16124,-121,376,73
2536,1108,16204,-354,510,160
2796,1160,16152,-614,1031,370
2596,916,16280,-516,1198,393
2392,732,16624,14,965,260
2388,624,16512,325,739,92
2548,808,16516,204,587,42
2648,848,16356,-245,795,267
2540,692,16216,-504,1045,351
2296,528,16256,-177,1062,150
2244,644,16336,292,608,-128
2328,856,16608,436,194,-195
2492,1056,16492,183,215,-49
2640,1096,16200,26,683,55
2576,948,16316,171,848,16
2536,744,16280,239,635,108
2416,872,16408,105,422,112
2512,1024,16400,-178,150,76
2676,880,16408,-595,364,207
2536,628,16304,-401,445,228
2340,568,16288,181,538,-85
2396,764,16524,457,616,-268
2512,956,16396,245,482,-357
2744,1156,16468,185,236,-205
2576,1168,16328,89,218,132
2272,852,16292,178,432,66
2464,784,16328,406,505,-122
2540,884,16316,493,366,-172
2728,1168,16432,154,455,-58
2832,1232,16284,-214,638,169
2712,1052,16156,-279,830,483
2532,868,16268,-104,1039,368
2540,780,16496,-57,812,229
2576,816,16576,186,278,159
2516,932,16600,294,92,185
2468,1072,16448,-17,431,111
2472,1160,16184,-52,593,140
2412,920,16208,139,619,313
2368,808,16288,418,317,329
2472,912,16532,331,18,290
2492,908,16316,96,-101,320
2664,824,16300,103,327,399
2684,792,16348,220,760,391
2596,920,16512,201,867,240
2656,1064,16540,-16,650,172
2736,832,16264,-171,523,292
2608,768,16256,32,561,386
2568,920,16392,290,640,289
2380,932,16376,227,587,0
2716,1180,16396,91,653,-51
2680,1144,16392,-298,778,286
2596,1100,16436,-259,582,506
2432,1012,16320,-323,758,615
2340,780,16500,-188,906,422
2380,720,16412,260,633,167
2576,864,16640,575,116,190
2640,1016,16564,333,-223,349
2732,1156,16108,-200,32,496
2748,992,15936,-360,778,483
2604,968,16128,34,1117,346
2540,692,16632,398,952,130
2612,648,16568,422,506,14
2624,796,16540,298,104,54
2632,1052,16516,164,125,54
2644,1120,16140,214,464,4
2616,1116,16204,329,813,24
2492,1076,16320,402,866,-11
2468,944,16420,255,652,15
2576,888,16284,155,339,12
