2052,-1888,16460,-34,900,1350
-392,-4672,13516,-677,3111,508
1372,-4372,14904,7683,1654,-3157
452,-4356,16440,11465,2650,-3007
-2428,6292,10060,32767,-4858,-23787
-3728,-8440,15960,18686,-2671,6612
3968,7652,23576,1451,-1342,353
-288,-2248,14256,904,-1455,600
-500,-2536,15044,1663,-425,203
4052,-612,18756,1244,901,253
3484,-1356,17272,-6467,4092,-467
-2864,-5796,10964,4115,1363,-2899
1364,364,16896,2757,1643,-4273
-276,-2424,14424,5067,2745,-1372
692,-1352,14452,5322,1690,181
1808,3820,18548,-804,811,1259
-3880,-19600,-8712,32767,-7191,1539
2328,-1140,17708,2060,-1046,8340
1864,-536,16660,1658,883,5267
2836,-2532,17388,6777,5711,994
3120,5668,15108,8254,6070,-5899
5060,10012,11184,-2040,455,-10327
416,-5708,18116,5389,-216,-4843
1324,-3500,16996,5837,940,-8849
1412,-1112,17928,5204,5955,-13532
-536,1376,19092,4699,10890,-15654
-4532,3992,18000,1653,9463,-17928
-3796,2244,16652,2700,4101,-4613
-2472,1364,15724,2572,-1027,2523
364,2732,15248,82,-2240,3470
1708,4008,15812,-2750,-2224,3027
1444,4140,17160,-2471,-1513,2693
1724,2976,18720,1343,-1242,3174
2088,3008,18812,4364,809,1646
1500,4460,17476,4113,2475,-823
312,6120,15380,1642,1756,-731
-468,5568,14832,-89,302,2870
308,3256,16440,100,-1598,7587
2588,2892,17256,94,-2902,8143
3284,3572,16520,-722,-4118,5872
3376,4148,16008,7,-2908,4666
3120,3336,16296,1277,1046,6224
3064,1756,17264,1571,1735,7389
4032,232,18540,920,-407,5422
3356,932,19044,-28,-1741,1050
1168,540,19360,7,-1893,-1645
-604,-636,19464,497,-296,-1634
-2416,-1788,18252,930,1550,-2243
-3528,-1568,15800,2360,2726,-5566
-4716,-1348,13368,3213,4179,-9528
-6764,-568,11240,3377,5420,-12158
-8108,2116,10956,675,6201,-11664
-7936,5672,13816,-5307,5629,-7720
-5192,3992,17848,-6165,81,730
-480,652,18976,2651,-7666,5276
2720,3884,16724,11910,-6401,3241
1552,8736,16952,14311,3591,5121
2832,14456,15848,2773,10016,4261
6244,9008,19968,-5840,6630,12225
11408,3304,22700,-11430,393,13145
15452,5320,18436,-9944,-5660,7007
11636,5340,15400,-2369,-6215,5446
9340,10608,12652,383,547,-7472
5128,14528,12896,-3511,3254,-7437
2672,13716,12364,-5094,-3592,-4148
2744,9208,13576,-3190,-10914,444
2116,9180,14024,-160,-10189,-1268
-4732,7344,13324,4228,-7078,-5451
-3800,8060,13908,3788,-7398,-2461
-1860,4684,15528,5335,-9951,16034
5076,4128,16408,6541,-9442,17558
4628,2068,15260,8053,-4552,12941
-40,2468,11468,8198,-1697,13123
-2988,4272,10700,3270,-403,4113
-4736,3204,13536,195,3033,5971
-2444,2244,16284,-1034,8409,6440
-128,2188,13264,-2443,9719,4769
-3044,424,15108,-6855,5329,1869
-9328,2680,25288,-2186,328,-14028
-7076,4876,28720,6637,1491,-14439
-6584,4620,23888,18243,5134,7188
-2560,624,17440,21324,6000,16838
-2324,1492,14780,14382,2934,18004
-48,4580,15176,7314,-4665,5688
-792,3356,18124,4021,-8893,-7580
-700,-1724,19012,4698,-6200,-7937
2832,-464,15712,3171,-2691,1643
4396,4676,11284,-1388,851,2360
4688,4012,11428,-1670,-1720,6369
5160,5952,12228,-4035,-2697,-5712
4644,6584,15228,-9177,1630,-12644
2832,5080,16936,-12197,6130,-26036
4348,560,15352,-8425,8500,-11736
2920,312,11332,-4212,8925,-1062
1904,5084,12108,-4798,1492,-13490
2520,8880,17716,-8308,-7125,-29426
-1420,4576,20340,-2852,-9744,-9401
1520,3576,16892,79,4279,6682
-3316,-348,17408,4033,-2168,16451
-332,4432,16632,-6731,-5843,4275
-5572,1032,18532,-12046,-15285,903
-3688,864,21300,-14409,-19558,819
-2012,248,24048,-16471,-17070,-3947
-68,-1104,22856,-10197,-11045,-10515
-3284,260,21420,-735,-325,-10974
-5328,3548,16928,-1512,7728,-11716
-4900,3016,17704,-8236,7061,-19112
-1216,1140,19844,-7579,6034,-20209
1444,1776,17652,-2406,8094,-24493
1656,4104,12280,-2381,13818,-29258
-284,3444,10568,-9694,18286,-28814
-3080,-52,13704,-8796,12521,-30604
-4040,584,16848,489,2150,-32768
-7228,1508,15784,9646,-1798,-27145
-3968,7200,10248,5969,3117,280
-5980,2800,9664,-4152,8594,-2813
2096,-2008,18176,-11784,-2995,2916
11272,-1772,23932,-57,-18157,5829
12040,-1596,25928,9132,-17483,-4759
10672,-5856,24096,8925,-1830,-15720
14612,-5708,17068,2128,682,-5389
9868,-3520,13208,-6092,13333,-6070
8364,-5232,13816,-6583,4945,-8934
7428,-4936,14944,-1925,-2069,-12471
5116,-2436,16604,1334,-4099,-15738
3740,40,16276,-2233,2382,-15478
2576,0,15136,-4646,4947,-18396
5000,-4032,14404,-1801,8327,-12527
4656,-2396,12812,3882,4814,-9769
3116,-2284,12236,3327,954,-18045
5852,2256,11456,1912,-8349,-14583
12052,1120,10320,4469,-3123,-2442
16716,10644,12148,9328,25545,11257
7532,5200,15264,2277,-3950,14729
7316,10272,18940,-15844,-10253,-10615
9332,6872,27500,-20470,-18829,-32768
5412,2400,29844,-12965,-32286,-12598
4560,-4296,26208,-677,14012,5400
15324,5228,17708,5513,1695,28049
8756,2008,15864,10449,5224,8735
5116,3260,16708,9762,11661,-15303
-2760,5700,15832,5071,16225,-29031
-3056,4376,14800,-7497,13701,-15505
-3744,3692,13044,-15301,438,-8441
-2696,312,17572,-8154,-9451,-6920
1296,1380,19932,3763,-6843,-10607
812,2712,17132,10803,-2753,-3577
8,368,15680,8756,238,1253
4848,3644,14788,2067,-1294,6904
8840,5916,15264,-318,-6689,19886
10356,7604,18100,-4088,-10170,2399
6420,3236,19424,-1957,-10009,-2856
5000,1172,18520,2855,-4409,-8723
76,-2164,16360,7481,2319,1217
-16,-3708,11672,7444,5472,10104
396,-948,10964,9998,5908,11135
1156,3932,10140,10113,8398,3502
2292,6944,10020,6047,8817,-4916
340,6368,11924,-516,8474,-3377
-1652,3700,14500,-5309,5136,633
-3752,592,17220,-2869,1251,-3088
-2844,-140,18604,2407,-528,1701
508,3556,18460,5358,703,12110
2664,7496,16716,1820,1655,15104
2108,6620,18196,348,-355,13976
6172,8700,19596,-1529,-752,14195
7692,8716,20356,-2339,-3266,8275
7412,5816,18620,1859,-4536,15057
8176,5060,14852,6604,-718,21125
6464,5184,12556,8293,4838,22899
5916,6696,12372,3538,10700,9206
3744,4728,12544,142,9719,6767
4000,4332,12556,-1808,6942,2741
-452,1816,11376,-4446,4563,-2956
-2684,896,9828,-3600,988,-2998
-2120,1436,9656,737,-4412,175
-448,3852,11228,4179,-7201,1723
880,5180,14392,-105,-3949,-360
-800,7724,15860,-8162,235,1000
432,8808,18376,-13110,-928,4994
4924,9352,20676,-10737,-1956,10446
2528,5008,21836,-5815,-1573,10141
4644,6324,20096,-2981,4519,6622
2840,4600,18004,-3119,9777,4302
704,4044,17208,-343,12871,5329
-840,4276,14220,1828,12241,7924
-1336,3444,12284,3775,6921,10262
496,3456,11004,7818,2412,11175
-268,6440,8720,9092,999,10707
-1176,11672,7292,1323,100,8856
-10960,8644,9676,-5021,-4923,9172
-6496,4800,16272,-2495,-9833,14863
-1100,7416,18328,6648,-11447,26793
2452,14208,18356,11866,-8085,32767
4376,15352,21328,6350,-2603,28116
11860,16884,25496,6803,1403,32462
9388,10228,30372,3918,6040,28385
12560,13864,27332,408,4588,12084
1484,14040,24536,-4761,2327,-6829
-7364,9168,22228,-7694,604,-32768
-5608,684,15476,-3273,-16796,-21084
-2328,7520,12452,67,9992,5817
5508,1912,8144,1629,-3646,-1034
344,4768,10204,-5268,-905,-11419
-5024,1272,13860,-9833,1764,-20993
-5612,4688,15760,-13190,-5728,-26063
188,-308,18776,4050,-16280,-4742
932,-3380,16048,9035,2069,4874
-1144,2364,11640,16526,7358,18394
-1124,3560,9684,6946,-6656,8780
-768,4508,14384,-1301,-6983,2356
3740,5524,22680,-7299,1775,-2560
3200,5316,25376,-713,-2591,-1145
-320,3896,21892,5271,6831,713
-8332,4732,16484,5556,-329,6909
1328,10820,10308,5550,-450,17582
3708,3108,7232,4106,-3928,18428
3568,4280,9832,-2239,-3750,6417
2944,3600,13376,-3148,-6,2599
1516,2008,15036,273,4260,1906
584,3676,13040,4901,6718,408
-1572,2948,12052,5853,7004,-1338
-4056,2052,11356,6051,5092,1005
-4204,3592,12368,5215,3069,2874
-2464,2756,14596,6642,5599,12405
184,3800,15616,9607,9280,15264
2160,4600,15300,8910,11112,15146
3248,5004,14536,5219,9604,15200
1948,2628,14528,366,3653,13465
3000,-2032,16716,-6068,-1663,7864
4508,-284,19792,-10031,-719,-980
1468,-20,22060,-10299,5026,-7586
-656,-352,22972,-7649,12075,-7253
-1012,1800,20348,-6807,13204,-5004
-156,-1180,17576,-5175,7795,-5581
